negative_comment	target	positive_comment	overall_comment	score	city_name	date
	北京宝格丽酒店		很宝格丽的宝格丽酒店	9.2	beijing	2019年3月15日
	M青年空​​间		一间可以颠覆你世界观的超级棒的青旅。	9.6	beijing	2019年3月19日
	上海郝完美民宿（唐黄路店）		老板服务热情，大晚上还会在门口等待客人。	6.7	shanghai	2019年3月18日
	北京团园四合院客栈		很满意	10	beijing	2019年3月10日
	北京丽晶酒店		除了硬件本身比较旧主外，其他方面体验感都很棒。	9.6	beijing	2019年3月15日
	北京古城老院精品酒店		员工非常热情，四合院的风格非常漂亮。	9.2	beijing	2019年1月27日
	北京宝格丽酒店		Candy小姐姐好评！	7.9	beijing	2019年3月4日
	时光漫步怀旧主题酒店（北京雍和宫店）		服务一级棒！	10	beijing	2019年2月17日
	M青年空​​间		一间有设计感跟文艺感的旅社，满足对青旅的美好想象。	9.6	beijing	2019年3月13日
	上海郝完美民宿（唐黄路店）		去迪士尼的最好选择！	10	shanghai	2019年3月18日
	上海郝完美民宿（唐黄路店）		从老板到店员都很亲切，有早饭，从酒店到园区有专车接送...	9.2	shanghai	2019年1月30日
	上海郝完美民宿（唐黄路店）		完美	10	shanghai	2019年1月21日
	上海郝完美民宿（唐黄路店）		非常棒	9.6	shanghai	2018年10月2日
	北京团园四合院客栈		这是我在北京住过的最好的民宿了！	10	beijing	2018年11月6日
	北京丽晶酒店		入住第一天晚上洗淋浴，一打开花洒...	6.3	beijing	2019年3月9日
	北京丽晶酒店		服务，大堂，浴缸，没有特别但也中规中矩。	8.3	beijing	2019年2月4日
	北京古城老院精品酒店		设计复古、厕所地板发热。	7.9	beijing	2018年10月28日
	北京古城老院精品酒店		人性化的酒店住宿	10	beijing	2018年9月17日
	北京宝格丽酒店		房間大，乾淨整潔，早餐種類非富, 美味可口。	9.6	beijing	2019年2月12日
	北京宝格丽酒店		热情，贴心，细致，非常有品质！	9.6	beijing	2019年1月27日
	时光漫步怀旧主题酒店（北京雍和宫店）		工作人员都很nice，小细节上非常用心，让我们觉得很温暖	9.6	beijing	2019年2月15日
	时光漫步怀旧主题酒店（北京雍和宫店）		这家店的服务人员绝对是近期以来国内看到最热情服务态度最好的。	10	beijing	2019年1月13日
	M青年空​​间		到鼓楼步行10分钟左右 去南锣锅巷故宫都很方便！	10	beijing	2019年3月12日
	上海郝完美民宿（唐黄路店）		超满意	10	shanghai	2018年9月16日
	北京团园四合院客栈		总体体验很好	9.6	beijing	2018年9月25日
	北京团园四合院客栈		员工很热心，服务态度很好，阿姨的饭菜好吃	8.3	beijing	2018年8月20日
	北京丽晶酒店		从来不会让人失望的丽晶👍	9.6	beijing	2018年12月17日
	北京丽晶酒店		性价比高，接送机价格合理，值得尝试。	8.8	beijing	2018年12月4日
	北京古城老院精品酒店		有机会还会选择住在这里的！	9.6	beijing	2018年5月25日
	北京古城老院精品酒店		非常独特的体验，服务人员友善周到。	9.6	beijing	2018年2月21日
	北京宝格丽酒店		为了泳池可以体验一晚，不会再入住	6.3	beijing	2019年1月4日
	北京宝格丽酒店		有好有坏。	8.3	beijing	2018年11月16日
	香港逸兰精品酒店		1.	9.2	hong-kong	2019年2月20日
